C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42
0,udp,private,SF,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,1,0.0,0.02,0.0,0.0,0.21,0.0,0.51,0.0,teardrop.
0,udp,private,SF,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,10,0.04,0.02,0.04,0.0,0.21,0.0,0.47,0.0,teardrop.
0,udp,private,SF,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,56,0.22,0.02,0.22,0.0,0.19,0.0,0.31,0.0,teardrop.
0,udp,private,SF,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26,1,0.04,0.15,0.04,0.0,0.0,0.0,0.0,0.0,teardrop.
0,udp,private,SF,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35,10,0.29,0.11,0.29,0.0,0.0,0.0,0.0,0.0,teardrop.
0,udp,private,SF,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,0.0,0.0,0.0,0.0,1.0,0.0,0.0,76,51,0.67,0.05,0.67,0.0,0.0,0.0,0.0,0.0,teardrop.
0,udp,private,SF,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21,1,0.05,0.14,0.05,0.0,0.0,0.0,0.0,0.0,teardrop.
0,udp,private,SF,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,0.0,0.0,0.0,0.0,1.0,0.0,0.0,64,44,0.69,0.05,0.69,0.0,0.0,0.0,0.0,0.0,teardrop.
0,udp,private,SF,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,94,0.0,0.0,0.0,0.0,1.0,0.0,0.0,114,94,0.82,0.03,0.82,0.0,0.0,0.0,0.0,0.0,teardrop.
0,udp,private,SF,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,1,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,teardrop.
0,udp,private,SF,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,19,0.07,0.02,0.07,0.0,0.0,0.0,0.0,0.0,teardrop.
0,udp,private,SF,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,69,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,69,0.27,0.02,0.27,0.0,0.0,0.0,0.0,0.0,teardrop.
